TradingDate,int_Stkcd,index,Stkcd,open,high,low,close,simple_Stkcd,date,AdjustingFactor,FirstIndustryName,sector,return,max_return,current_drawback,max_place,min_place,max_return_next,upstop_num,downstop_num
20110527,2408,200415,002408.SZ,29.0,29.1,27.8,50.44664906832297,002408,20110527,1.8139751552795027,化工,工业,-0.042685025817555955,0.685290763968073,-0.31736604778994637,32.0,1.0,0.2952175476447323,0.0,0.0
20110527,600180,200961,600180.SH,9.0,9.19,8.78,23.820099836516782,600180,20110527,2.7129954255713877,农林牧渔,必选消费,-0.04978354978354982,0.6204128440366972,-0.3786270346779902,32.0,9.0,0.16400911161731235,0.0,0.0
20110527,600217,200993,600217.SH,6.46,6.65,6.33,29.350453803617146,600217,20110527,4.522411988230685,建筑材料,工业,0.0,0.5252854812398042,-0.3058823529411765,29.0,1.0,0.08012326656394442,0.0,0.0
20110527,600757,201451,600757.SH,8.8,8.88,8.39,52.23119067278097,600757,20110527,6.225410092107386,传媒,TMT,-0.04983012457531144,0.6312925170068027,-0.30025020850708917,18.0,0.0,0.07747318235995215,0.0,0.0
20110527,600868,201552,600868.SH,3.56,3.64,3.46,127.2241630048111,600868,20110527,35.34004527911419,公用事业,公用,0.008403361344537785,0.5770392749244713,-0.31034482758620685,32.0,7.0,0.05555555555555536,0.0,0.0
20110530,2075,202245,002075.SZ,7.3,7.42,7.12,14.42156495694496,002075,20110530,2.0029951329090223,钢铁,大宗材料,-0.012345679012345623,0.8719999999999999,-0.3846153846153846,24.0,0.0,0.27500000000000013,1.0,0.0
20110530,2408,202577,002408.SZ,27.75,28.25,27.03,49.55780124223602,002408,20110530,1.8139751552795027,化工,工业,-0.01761956130888165,0.685290763968073,-0.3293937585624356,31.0,0.0,0.31954612005856475,0.0,0.0
20110530,600217,203155,600217.SH,6.33,6.53,6.33,28.762540245147157,600217,20110530,4.522411988230685,建筑材料,工业,-0.02003081664098616,0.5252854812398042,-0.3197860962566844,28.0,0.0,0.10220125786163514,0.0,0.0
20110530,600757,203613,600757.SH,8.39,8.53,8.3,51.73315786541238,600757,20110530,6.225410092107386,传媒,TMT,-0.009535160905840279,0.6312925170068027,-0.3069224353628023,17.0,0.0,0.08784596871239447,0.0,0.0
20110530,600868,203714,600868.SH,3.57,3.7,3.49,124.0435589296908,600868,20110530,35.34004527911419,公用事业,公用,-0.025000000000000133,0.5770392749244713,-0.3275862068965518,31.0,6.0,0.0826210826210827,0.0,0.0
